id,name,category_id,description,location,phone,email,opening_hours,image_url,logo_url,website_url,instagram_handle,facebook_handle,has_online_ordering,has_delivery,has_collection,has_appointment_booking,has_virtual_try_on,delivery_fee,minimum_order_amount,estimated_delivery_time,is_featured,is_active,rating,total_reviews,created_at,updated_at,product_count
70,Sefalana,1,"Leading supermarket chain offering fresh groceries, household items, and everyday essentials","Ground Floor, Main Wing",+267 318 8000,sefalana@molapo.co.bw,"{""friday"": ""07:00-20:00"", ""monday"": ""07:00-20:00"", ""sunday"": ""08:00-18:00"", ""tuesday"": ""07:00-20:00"", ""saturday"": ""07:00-20:00"", ""thursday"": ""07:00-20:00"", ""wednesday"": ""07:00-20:00""}",https://images.unsplash.com/photo-1578916171728-46686eac8d58?w=800,,https://www.sefalana.com,sefalana_bw,SefalanaBotswana,true,true,true,false,false,25.00,100.00,45-60 minutes,true,true,4.30,127,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
71,Bartender,1,"Professional bar supplies, premium spirits, wines, and cocktail accessories","Ground Floor, East Wing",+267 123 4567,bartender@molapo.co.bw,"{""friday"": ""10:00-20:00"", ""monday"": ""10:00-19:00"", ""sunday"": ""12:00-18:00"", ""tuesday"": ""10:00-19:00"", ""saturday"": ""10:00-20:00"", ""thursday"": ""10:00-19:00"", ""wednesday"": ""10:00-19:00""}",https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?w=800,,,bartender_molapo,,true,true,true,false,false,30.00,150.00,30-45 minutes,false,true,4.10,43,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
72,Liquorama,1,"Wide selection of alcoholic beverages, wines, spirits, and beer from around the world","Ground Floor, West Wing",+267 123 4568,liquorama@molapo.co.bw,"{""friday"": ""10:00-20:00"", ""monday"": ""10:00-19:00"", ""sunday"": ""12:00-18:00"", ""tuesday"": ""10:00-19:00"", ""saturday"": ""10:00-20:00"", ""thursday"": ""10:00-19:00"", ""wednesday"": ""10:00-19:00""}",https://images.unsplash.com/photo-1569529465841-dfecdab7503b?w=800,,,liquorama_bw,,true,true,true,false,false,35.00,200.00,30-45 minutes,false,true,4.00,29,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
73,Onius Motorsport Clothing,2,"High-quality motorsport apparel, racing gear, and automotive lifestyle clothing","First Floor, North Wing",+267 123 4569,onius@molapo.co.bw,"{""friday"": ""09:00-19:00"", ""monday"": ""09:00-18:00"", ""sunday"": ""10:00-17:00"", ""tuesday"": ""09:00-18:00"", ""saturday"": ""09:00-19:00"", ""thursday"": ""09:00-18:00"", ""wednesday"": ""09:00-18:00""}",https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?w=800,,,onius_motorsport,,true,true,true,false,true,40.00,300.00,2-3 days,false,true,4.20,18,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,2
74,Pinkiees Boutique,2,"Trendy women's fashion, accessories, and contemporary styles for the modern woman","First Floor, South Wing",+267 123 4570,pinkiees@molapo.co.bw,"{""friday"": ""09:00-19:00"", ""monday"": ""09:00-18:00"", ""sunday"": ""10:00-17:00"", ""tuesday"": ""09:00-18:00"", ""saturday"": ""09:00-19:00"", ""thursday"": ""09:00-18:00"", ""wednesday"": ""09:00-18:00""}",https://images.unsplash.com/photo-1445205170230-053b83016050?w=800,,,pinkiees_boutique,,true,true,true,false,true,35.00,250.00,1-2 days,true,true,4.40,67,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,2
75,Tuelie's Corner,2,"Unique fashion pieces, vintage finds, and curated clothing collections","First Floor, East Wing",+267 123 4571,tuelies@molapo.co.bw,"{""friday"": ""09:00-19:00"", ""monday"": ""09:00-18:00"", ""sunday"": ""10:00-17:00"", ""tuesday"": ""09:00-18:00"", ""saturday"": ""09:00-19:00"", ""thursday"": ""09:00-18:00"", ""wednesday"": ""09:00-18:00""}",https://images.unsplash.com/photo-1483985988355-763728e1935b?w=800,,,tuelies_corner,,true,true,true,false,true,30.00,200.00,1-2 days,false,true,4.30,34,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,5
76,B4U Discount Centre,3,"Affordable electronics, gadgets, and tech accessories at discounted prices","Ground Floor, Central Court",+267 123 4572,b4u@molapo.co.bw,"{""friday"": ""08:00-20:00"", ""monday"": ""08:00-19:00"", ""sunday"": ""09:00-18:00"", ""tuesday"": ""08:00-19:00"", ""saturday"": ""08:00-20:00"", ""thursday"": ""08:00-19:00"", ""wednesday"": ""08:00-19:00""}",https://images.unsplash.com/photo-1560472354-b33ff0c44a43?w=800,,,b4u_discount,,true,true,true,false,false,45.00,150.00,1-2 days,true,true,4.10,52,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
77,Viva Computers,3,"Complete computer solutions, laptops, desktops, and IT support services","First Floor, Tech Hub",+267 123 4573,viva@molapo.co.bw,"{""friday"": ""08:00-19:00"", ""monday"": ""08:00-18:00"", ""sunday"": ""09:00-17:00"", ""tuesday"": ""08:00-18:00"", ""saturday"": ""08:00-19:00"", ""thursday"": ""08:00-18:00"", ""wednesday"": ""08:00-18:00""}",https://images.unsplash.com/photo-1547394765-185e1e68f34e?w=800,,,viva_computers,,true,true,true,true,false,50.00,500.00,2-3 days,false,true,4.50,89,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
78,Coupons,3,"Mobile accessories, phone repairs, and telecommunications products","Ground Floor, Mobile Zone",+267 123 4574,coupons@molapo.co.bw,"{""friday"": ""08:00-20:00"", ""monday"": ""08:00-19:00"", ""sunday"": ""09:00-18:00"", ""tuesday"": ""08:00-19:00"", ""saturday"": ""08:00-20:00"", ""thursday"": ""08:00-19:00"", ""wednesday"": ""08:00-19:00""}",https://images.unsplash.com/photo-1512054502232-10a0a035d672?w=800,,,coupons_molapo,,true,true,true,false,false,20.00,100.00,1 day,false,true,4.00,31,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
79,HairStranz,4,"Professional hair salon offering cuts, styling, coloring, and treatments","First Floor, Beauty Wing",+267 123 4575,hairstranz@molapo.co.bw,"{""friday"": ""09:00-19:00"", ""monday"": ""09:00-18:00"", ""sunday"": ""10:00-17:00"", ""tuesday"": ""09:00-18:00"", ""saturday"": ""08:00-19:00"", ""thursday"": ""09:00-18:00"", ""wednesday"": ""09:00-18:00""}",https://images.unsplash.com/photo-1560066984-138dadb4c035?w=800,,,hairstranz_salon,,true,false,false,true,true,0.00,0.00,,true,true,4.60,142,2025-11-05 18:15:56.484605+00,2025-11-05 18:15:56.484605+00,0
